rank,team,points,date
1,Argentina,1868.33,2026-04-03
2,France,1855.42,2026-04-03
3,Spain,1832.17,2026-04-03
4,England,1794.66,2026-04-03
5,Brazil,1777.22,2026-04-03
6,Portugal,1764.89,2026-04-03
7,Belgium,1736.45,2026-04-03
8,Netherlands,1724.33,2026-04-03
9,Germany,1714.22,2026-04-03
10,Croatia,1663.44,2026-04-03
11,Morocco,1645.22,2026-04-03
12,Uruguay,1633.11,2026-04-03
13,USA,1614.22,2026-04-03
14,Mexico,1601.33,2026-04-03
15,Switzerland,1588.44,2026-04-03
16,Denmark,1577.22,2026-04-03
17,Japan,1564.33,2026-04-03
18,Senegal,1551.22,2026-04-03
19,Ecuador,1538.44,2026-04-03
20,Australia,1521.33,2026-04-03
21,South Korea,1514.22,2026-04-03
22,Poland,1504.33,2026-04-03
23,Serbia,1497.22,2026-04-03
24,Ghana,1441.33,2026-04-03
25,Cameroon,1431.22,2026-04-03
26,Tunisia,1421.11,2026-04-03
27,Canada,1418.44,2026-04-03
28,Saudi Arabia,1398.33,2026-04-03
29,Iran,1388.22,2026-04-03
30,Wales,1379.44,2026-04-03
31,Costa Rica,1361.33,2026-04-03
32,Qatar,1298.22,2026-04-03
