team_name,confederation,country_code
Argentina,CONMEBOL,ARG
France,UEFA,FRA
Spain,UEFA,ESP
England,UEFA,ENG
Brazil,CONMEBOL,BRA
Portugal,UEFA,POR
Belgium,UEFA,BEL
Netherlands,UEFA,NED
Germany,UEFA,GER
Croatia,UEFA,CRO
Morocco,CAF,MAR
Uruguay,CONMEBOL,URU
USA,CONCACAF,USA
Mexico,CONCACAF,MEX
Switzerland,UEFA,SUI
Denmark,UEFA,DEN
Japan,AFC,JPN
Senegal,CAF,SEN
Ecuador,CONMEBOL,ECU
Australia,AFC,AUS
South Korea,AFC,KOR
Poland,UEFA,POL
Serbia,UEFA,SRB
Ghana,CAF,GHA
Cameroon,CAF,CMR
Tunisia,CAF,TUN
Canada,CONCACAF,CAN
Saudi Arabia,AFC,KSA
Iran,AFC,IRN
Wales,UEFA,WAL
Costa Rica,CONCACAF,CRC
Qatar,AFC,QAT
